	Blankhet	Viskositet	Yoghurtlukt	Syrliglukt	Vaniljelukt	Vaniljesmak	Yoghurtsmak	Syrligsmak	Sotsmak	Emmensmak	Kunstigsmak	Fyldighet	Fethet	Viskositet	Glatthet	Astringens	Kremethet	Ettersmak
A	6.67	6.09	5.46	5.91	4.50	3.86	5.69	5.73	3.72	1.03	2.20	5.96	3.08	5.84	5.68	3.45	5.03	4.69
B	6.67	6.09	5.46	5.91	4.50	3.86	5.69	5.73	3.72	1.03	2.20	5.96	3.08	5.84	5.68	3.45	5.03	4.69
E	7.35	4.22	4.68	5.06	4.37	4.32	4.81	5.44	4.04	1.10	2.20	4.14	3.28	4.07	6.15	2.99	3.83	4.47
F	7.35	4.22	4.68	5.06	4.37	4.32	4.81	5.44	4.04	1.10	2.20	4.14	3.28	4.07	6.15	2.99	3.83	4.47
C	6.68	5.76	4.00	4.58	3.34	3.13	3.61	4.71	6.05	2.11	4.87	5.70	3.44	5.45	6.16	2.29	4.99	5.43
D	6.68	5.76	4.00	4.58	3.34	3.13	3.61	4.71	6.05	2.11	4.87	5.70	3.44	5.45	6.16	2.29	4.99	5.43
G	7.33	4.30	3.57	4.52	3.11	2.93	3.22	3.83	6.70	2.71	5.83	3.85	3.47	3.67	6.59	2.13	3.44	5.57
H	7.33	4.30	3.57	4.52	3.11	2.93	3.22	3.83	6.70	2.71	5.83	3.85	3.47	3.67	6.59	2.13	3.44	5.57
